yourlist:M2016041565YVM8RPRK	Entry
ABCC3	D6RJE5
ABCC3	H0Y8Q6
ABCC3	H0Y8T5
ABCC3	H0Y9T4
ABCC3	O15438
ABCC3	Q2M3C9
ABCC3	Q86VN9
ABCC4	O15439
ABCC4	Q8IUA3
ABCC4	Q8IWU1
ABCC5	A5PKY6
ABCC5	C9JZL5
ABCC5	E9PET4
ABCC5	F8WCY8
ABCC5	F8WDH3
ABCC5	H7C271
ABCC5	O15440
ABCC6	A0A0G2JMG3
ABCC6	A0A0G2JNS1
ABCC6	A0A0J9YVW5
ABCC6	I3L1Z6
ABCC6	O95255
ABCC8	E9PK50
ABCC8	H0YDH8
ABCC8	H0YE33
ABCC8	H0YEA9
ABCC8	H0YF51
ABCC8	Q09428
ABCC9	A0A024RAV7
ABCC9	G3V1N6
ABCC9	H0YFV4
ABCC9	K4DI86
ABCC9	O60706
ABCC9	Q8N4N7
ABCD1	A6NEP8
ABCD1	L8E9C7
ABCD1	P33897
ABCD1	Q2PRN6
ABCD2	Q9UBJ2
ABCD3	P28288
ABCD4	A0A024R6B9
ABCD4	A0A024R6C6
ABCD4	A0A024R6C8
ABCD4	A0A024R6G8
ABCD4	E9PI46
ABCD4	E9PPB6
ABCD4	G3V3W1
ABCD4	G3V4U7
ABCD4	H0YCY9
ABCD4	H0YJ78
ABCD4	H0YJ82
ABCD4	H0YJL8
ABCD4	H0YJX8
ABCD4	O14678
ABCE1	D6R9I9
ABCE1	D6RGF4
ABCE1	H0Y990
ABCE1	P61221
ABCF1	A0A0G2JIC2
ABCF1	A0PJ72
ABCF1	F5GYK6
ABCF1	H0YGW7
ABCF1	L0R6B8
ABCF1	Q2L6I2
ABCF1	Q5STZ8
ABCF1	Q8NE71
ABCF2	A0A090N7X1
ABCF2	A0A090N7Y2
ABCF2	C9JHK9
ABCF2	C9JZV3
ABCF2	L0R4T3
ABCF2	Q9UG63
ABCF3	A0A0S2Z5L1
ABCF3	A0A0S2Z645
ABCF3	F8WCU6
ABCF3	Q9NUQ8
ABCG1	C9JKD9
ABCG1	E9PGV9
ABCG1	P45844
ABCG2	A0A024RDD4
ABCG2	F8S0F2
ABCG2	F8S0F6
ABCG2	F8S0F7
ABCG2	H0YAF1
ABCG2	H0YAF3
ABCG2	I4EPX2
ABCG2	I7JB59
ABCG2	Q8WZ76
ABCG2	Q9UNQ0
ABCG4	E9PJ00
ABCG4	Q9H172
ABCG5	E5RFY8
ABCG5	E5RHB7
ABCG5	E7EX35
ABCG5	Q53QN9
ABCG5	Q53T83
ABCG5	Q9H222
ABCG8	B7ZL41
ABCG8	Q14CR0
ABCG8	Q96A01
ABCG8	Q9H221
ABHD1	C9J8C2
ABHD1	F8WBB3
ABHD1	Q96SE0
ABHD10	F8WBJ5
ABHD10	F8WBQ6
ABHD10	Q9NUJ1
ABHD11	C9J7Q4
ABHD11	D3DXF2
ABHD11	H0YC52
ABHD11	H7BZ58
ABHD11	H7C396
ABHD11	Q8NFV4
ABHD12	I3L1V0
ABHD12	I3L206
ABHD12	I3L294
ABHD12	I3L380
ABHD12	I3L440
ABHD12	Q5T712
ABHD12	Q8N2K0
ABHD13	A0A024RDX1
ABHD13	Q7L211
ABHD14A	C9IYJ8
ABHD14A	C9J7W8
ABHD14A	C9JMW6
ABHD14A	K7N7A0
ABHD14A	Q9BUJ0
ABHD14B	B4DQI4
ABHD14B	F8W9U3
ABHD14B	Q96IU4
ABHD14B	V9HW87
ABHD15	Q6UXT9
ABHD16A	A0A0G2JI89
ABHD16A	A0A0G2JJD3
ABHD16A	F2Z3G6
ABHD16A	F2Z3H2
ABHD16A	F2Z3Q3
ABHD16A	O95870
ABHD16B	Q9H3Z7
ABHD17A	K7ENJ6
ABHD17A	K7EQ25
ABHD17A	Q96GS6
ABHD17B	Q5VST6
ABHD17C	H0YN98
ABHD17C	Q6PCB6
ABHD2	A0A024RC89
ABHD2	H3BMT2
ABHD2	H3BN19
ABHD2	H3BUZ6
ABHD2	P08910
ABHD3	J3KSP1
ABHD3	J3KTE1
ABHD3	J3QQR0
ABHD3	J3QR14
ABHD3	Q8WU67
ABHD4	F5GZC9
ABHD4	F5H067
ABHD4	F5H6T0
ABHD4	H0YFD5
ABHD4	J3KMW0
ABHD4	Q8TB40
ABHD5	A0A0M3LN66
ABHD5	A0A0S2Z572
ABHD5	A0A0S2Z5D6
ABHD5	C9J1D1
ABHD5	C9JBM3
ABHD5	F6K7K2
ABHD5	F6K7K3
ABHD5	F6K7K4
ABHD5	F6K7K5
ABHD5	F8W7B5
ABHD5	H7BZY9
ABHD5	Q8WTS1
ABHD6	A0A024R323
ABHD6	A0A087X2C5
ABHD6	C9J010
ABHD6	C9JNE7
ABHD6	F8WBP4
ABHD6	Q9BV23
ABHD8	B2C6G3
ABHD8	M0QX40
ABHD8	M0QZA8
ABHD8	Q96I13
ABI1	A0A0A0MRT6
ABI1	B6VEX4
ABI1	L8EC66
ABI1	Q8IZP0
ABI2	A0A0C4DG21
ABI2	B7Z836
ABI2	E7EP65
ABI2	E7EUA1
ABI2	E7EW77
ABI2	E9PEZ7
ABI2	F8WAL6
ABI2	F8WAQ3
ABI2	F8WAU3
ABI2	F8WAZ8
ABI2	F8WBL5
ABI2	F8WCD7
ABI2	F8WEB9
ABI2	H0Y6B5
ABI2	H7C3Q7
ABI2	Q9NYB9
ABI3	I3L1X2
ABI3	I3L3W4
ABI3	L8ECG8
ABI3	Q9P2A4
ABI3BP	D3YTG3
ABI3BP	E9PPR9
ABI3BP	E9PRB5
ABI3BP	H0Y897
ABI3BP	H0YCG4
ABI3BP	H0YCP4
ABI3BP	H0YDN0
ABI3BP	H0YDW0
ABI3BP	H0YEA0
ABI3BP	H0YEL2
ABI3BP	H0YF18
ABI3BP	H0YF57
ABI3BP	H7C4H3
ABI3BP	H7C4N5
ABI3BP	H7C4S3
ABI3BP	H7C4T1
ABI3BP	H7C4X4
ABI3BP	H7C524
ABI3BP	H7C556
ABI3BP	H7C5S3
ABI3BP	L8EAT2
ABI3BP	Q5JPC9
ABI3BP	Q7Z7G0
ABL1	A0A024R8E2
ABL1	P00519
ABL1	Q13688
ABL1	Q13689
ABL1	Q13691
ABL1	Q13914
ABL1	Q13915
ABL1	Q3B836
ABL1	Q3B837
ABL1	Q86Y36
ABL1	R4GRW0
ABL2	P42684
ABLIM1	A0A0A0MRL6
ABLIM1	F6XFR5
ABLIM1	F8W8M4
ABLIM1	H0Y7N6
ABLIM1	J3QSX6
ABLIM1	O14639
ABLIM2	A0A0A0MR40
ABLIM2	D6RAL0
ABLIM2	F5GYR0
ABLIM2	Q19VH1
ABLIM2	Q4W5G4
ABLIM2	Q6H8Q1
ABLIM3	A0A0A0MRD5
ABLIM3	A0A0C4DGA7
ABLIM3	D6RHE7
ABLIM3	O94929
ABO	A0A023J8Y7
ABO	A0A023W2C2
ABO	A0A023W307
ABO	A0A060VD92
ABO	A0A060VGH1
ABO	A0A060VHY2
ABO	A0A068B0Y9
ABO	A0A068F7M1
ABO	A0A087X009
ABO	A0A087X0C2
ABO	A0A088MFT4
ABO	A0A089QDC1
ABO	A0A097DCZ8
ABO	A0A0A0RW37
