#hypernode	nodes
Protein17117	Protein17117
Protein17116	Protein17116
Protein2729	Protein2729
SmallMolecule2735	SmallMolecule2735
Protein17113	Protein17113
Protein2720	Protein2720
Protein17072	Protein17072
Protein17073	Protein17073
Protein17070	Protein17070
Protein17071	Protein17071
Protein15917	Protein15917
Protein15916	Protein15916
Protein15915	Protein15915
Protein1844	Protein1844
Protein17078	Protein17078
Protein17079	Protein17079
Protein2705	Protein2705
Protein2704	Protein2704
Protein7187	Protein7187
Protein17132	Protein17132
Protein17114	Protein17114
Protein7180	Protein7180
Protein17111	Protein17111
Protein1710	Protein1710
Protein2738	Protein2738
Protein2739	Protein2739
Protein2538	Protein2538
Protein2539	Protein2539
Protein1717	Protein1717
Protein1716	Protein1716
Protein1719	Protein1719
Protein1718	Protein1718
Protein2536	Protein2536
Protein2537	Protein2537
Protein2530	Protein2530
Protein2531	Protein2531
Protein2532	Protein2532
Protein2533	Protein2533
Complex8044	Complex8044
Protein17069	Protein17069
Protein1569	Protein1569
Protein17148	Protein17148
Protein17112	Protein17112
Protein1796	Protein1796
Protein15382	Protein15382
Dna312	Dna312
SmallMolecule3180	SmallMolecule3180
SmallMolecule147	SmallMolecule147
Protein2855	Protein2855
Protein17105	Protein17105
Protein7250	Protein7250
Protein15381	Protein15381
Protein17149	Protein17149
Protein17076	Protein17076
Protein17077	Protein17077
Protein5637	Protein5637
Protein1705	Protein1705
Protein17074	Protein17074
Protein2711	Protein2711
Protein2509	Protein2509
Protein2508	Protein2508
Protein17075	Protein17075
Protein2742	Protein2742
Protein2741	Protein2741
Protein2740	Protein2740
Protein1566	Protein1566
Protein17086	Protein17086
Protein17068	Protein17068
SmallMolecule3179	SmallMolecule3179
SmallMolecule3178	SmallMolecule3178
Protein17140	Protein17140
PhysicalEntity1243	PhysicalEntity1243
Protein12381	Protein12381
Protein2717	Protein2717
Protein2702	Protein2702
Protein2715	Protein2715
Protein2718	Protein2718
Protein17092	Protein17092
Protein17093	Protein17093
Protein17094	Protein17094
Protein17095	Protein17095
Protein17096	Protein17096
Protein17097	Protein17097
Protein17098	Protein17098
Protein17099	Protein17099
Protein17067	Protein17067
Protein2724	Protein2724
Protein8850	Protein8850
Protein2516	Protein2516
Protein2517	Protein2517
Protein2514	Protein2514
Protein2515	Protein2515
Protein2512	Protein2512
Protein2513	Protein2513
Protein2510	Protein2510
Protein2511	Protein2511
Protein631	Protein631
Protein2518	Protein2518
Protein2519	Protein2519
Protein17146	Protein17146
Protein17147	Protein17147
Protein17144	Protein17144
Protein17145	Protein17145
Protein17142	Protein17142
Protein17143	Protein17143
Protein1564	Protein1564
Protein17141	Protein17141
Protein17065	Protein17065
Protein17064	Protein17064
Protein1568	Protein1568
Protein17066	Protein17066
Protein17061	Protein17061
Protein17060	Protein17060
Protein17063	Protein17063
Protein17062	Protein17062
Pathway1741	Pathway1741
Pathway1740	Pathway1740
Pathway1742	Pathway1742
Pathway1738	Pathway1738
Pathway1739	Pathway1739
Pathway1734	Pathway1734
Pathway1735	Pathway1735
Pathway1736	Pathway1736
Pathway1737	Pathway1737
Pathway1733	Pathway1733
